PackageName,DealType,MRP,Price,Gender,TestDetails
Fever Panel Basic,Wellness Bundle,500,385,All,
a,Wellness Bundle,500,385,All,
b,Wellness Bundle,500,385,All,
c,Wellness Bundle,500,385,All,
d,Wellness Bundle,500,385,All,
e,Wellness Bundle,500,385,All,
Fever Panel Basic,Wellness Bundle,500,385,All,
g,Wellness Bundle,500,385,All,
h,Wellness Bundle,500,385,All,
i,Wellness Bundle,500,385,All,
j,Wellness Bundle,500,385,All,
k,Wellness Bundle,500,385,All,
l,Wellness Bundle,500,385,All,
m,Wellness Bundle,500,385,All,
n,Wellness Bundle,500,385,All,
o,Wellness Bundle,500,385,All,
